Company/Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does
Qandle,Software,Seed,1200000,Gurgaon,A cloud-based HR management and employee engagement platform.
Avishkaar Box,"Children, Education, Parenting",Seed,7300000,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution"
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,3515000,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets
Deftouch,,Seed,3515000,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.
DronaHQ,Mobile,Angel,500000,Mumbai,DronaHQ is an enterprise mobile engagement platform.
FastFox,Rental,Series A,14600000,Gurgaon,FastFox: Market Network for Home Rentals (India)
Colive.in,Consumer,Seed,1800000,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers
Corefactors,,Seed,3515000,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company."
Fincash.com,Wealth Management,Seed,150000,Mumbai,A startup in the personal finance space in India .
Pandorum Technologies,Biotechnology,Series A,3600000,Bengaluru,Bengaluru based biotech startup.
Shirsa Labs,"Education, Gaming, Training",Seed,500000,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.
PetSutra,Veterinary,Seed,1387000,Gurgaon,Gurugram-based Online petcare platform.
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,3515000,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies
